Strength,力量
"Staff Damage and Stun Duration",长杖伤害和晕眩持续时间
"Staff Critical Strike Chance",长杖暴击率
Counterweight,长杖化身
"Shield Spell Block and Elemental Resistances with a Shield",持盾盾牌格挡法术和元素抗性
Sanctuary,至圣所
"Shield Block and Defences",盾牌格挡与盾牌防御
"Curse Duration",诅咒持续时间
"Curse Effect",诅咒效果
"Hex Master",邪法宗师
"Curse Mastery",诅咒专精
"Diamond Skin",晶钻之肤
"Armour and Elemental Resistances",护甲
"Elemental Resistance",元素抗性
Solidity,坚毅
Mana,魔力
"Mana and Arcane Surge Effect",魔力和秘术增强效果
"Mana and Mana Regeneration",魔力和魔力回复
"Arcane Capacitor",奥术充能
"Sword Damage and Bleed Chance",剑的伤害
"Sword Damage and Attack Speed",剑的伤害和攻击速度
"Blade Master",刀剑宗师
"Sword Damage and Ailment Damage",剑的伤害和异常状态伤害
"Razor's Edge",剃刃
"Sword Damage",剑类伤害
"Sword Mastery",剑类专精
"Minion and Damage Mastery",召唤生物和伤害精通
"Minion Damage and Duration",召唤生物伤害和持续时间
"Minion Duration, Attack and Cast Speed",持续时间、攻击和施法速度
"Enduring Bond",持久契约
"Minion Life and Elemental Resistances",召唤生物生命与元素抗性
"Minion Life and Physical Damage Reduction",召唤生物生命和物理伤害减免
"Indomitable Army",不败之军
"Minion Mastery",召唤生物专精
"Axe Damage",斧类伤害
"Splitting Strikes",狂斧
"Axe Mastery",斧类专精
"Axe Damage and Area of Effect",斧类伤害和效果区域
"Mace Damage and Reduced Enemy Stun Threshold",锤类伤害和敌人眩晕门槛降低
"Mace Damage and Area of Effect",锤类伤害和效果区域
"Skull Cracking",碎颅
"Mace Damage and Stun Duration",锤类伤害和眩晕持续时间
"Bone Breaker",破骨
"Mace Damage",锤的伤害
"Mace Mastery",锤类专精
"Mace Damage and Attack Speed",锤类伤害和攻击速度
"Ribcage Crusher",开膛手
"Armour and Evasion",护甲和闪避
"Armour, Evasion and Onslaught Effect",护甲、闪避和猛攻效果
"Graceful Assault",矫若惊龙
"Evasion Mastery",闪避专精
"Attack Damage, Armour and Evasion",攻击伤害、护甲和闪避
"Evasion and Accuracy",闪避和命中
"Soul of Steel",坚钢之灵
"Shock Chance, Duration and Effect",感电几率、持续时间和效果
"Static Blows",电能之击
"Shock Chance and Effect",感电几率和效果
"Damage and Critical Strike Chance against Shocked",对被感电者的伤害和暴击率
"Elemental Damage Mastery",元素伤害专精
"Physical and Lightning Damage",物理和闪电伤害
"Physical and Fire Damage",物理和火焰伤害
"Physical and Elemental Damage",物理和元素伤害
"Elemental Damage and Penetration",元素伤害和穿透
"Elemental Damage, Ailment Effect and Burning Damage Multiplier",元素伤害、异常效果和燃烧伤害加成
"Divine Judgement",神圣审判
"Divine Fury",圣怒
"Divine Wrath",神圣怒火
"Trap Damage",陷阱伤害
"Trap Damage and Trigger Area",陷阱伤害与触发范围
"Unstable Munitions",不稳定弹药
Stamina,充沛精力
"Life Regeneration per Endurance Charge",耐力球提供生命再生
"Jewel Socket",珠宝插槽
"Endurance Charge Duration",耐力球持续时间
"Armour and Mana",护甲和魔力
"Sanctum of Thought",思维圣殿
"Dagger Damage and Critical Strike Chance",匕首伤害和暴击率
"Dagger Damage and Accuracy",匕首伤害和命中
Nightstalker,夜袭
"Dagger Mastery",匕首专精
"Dagger Accuracy and Critical Strike Chance",匕首命中值和暴击率
"Lightning Damage, Shock Duration and Effect","闪电伤害, 感电持续和几率"
"Heart of Thunder",雷霆之心
"Lightning Damage and Shock Chance",闪电伤害和感电几率
"Lightning Damage and Shock Effect",闪电伤害和感电效果
"Breath of Lightning",闪电之息
"Axe Damage and Attack Speed",斧类伤害和攻击速度
Slaughter,冷血
"Axe Damage and Bleed Chance",斧的伤害和流血几率
"Axe Damage and Bleed Duration",斧类伤害和流血持续时间
Cleaving,劈砍
"Life Regeneration, Endurance Charge Duration","生命回复速度, 耐力球持续时间"
"Life Regeneration, Fire Damage",生命再生，火焰伤害
"Life Regeneration, Totem Placement Speed","生命回复速度, 图腾放置速度"
"Arohongui, Moon's Presence",月使.亚欧红古
"Tasalio, Cleansing Water",塔赛里奥，纯净之水
"Tukohama, War's Herald",战争使者.图克哈玛
"Tawhoa, Forest's Strength",森林之力.塔赫亚
"Life Regeneration, Fire Resistance",生命再生、火焰抗性
"Valako, Storm's Embrace",瓦拉克，风暴之拥
"Hatchet Master",斧刃宗师
"Axe Attack Speed and Evasion",斧类攻击速度和闪避
"Wand Elemental Damage",法杖元素伤害
"Wand Mastery",法杖专精
"Prism Weave",绫彩交织
"Wand Attack Speed and Accuracy",法杖攻击速度和精准
"Cast Speed",施法速度
"Accuracy and Critical Strike Chance",命中和暴击率
"Eagle Eye",鹰眼
"Chaos and Power Charge Mastery",混沌和暴击球专精
"Mana Regeneration per Power Charge",每个暴击球的魔力回复
"Critical Strike Chance per Power Charge",每个暴击球的暴击率
"Critical Strike Multiplier per Power Charge",每个暴击球的暴击伤害加成
"Disciple of the Forbidden",禁礼门徒
"Born to Fight",为战而生
"Flask Effect and Duration",药剂效果和持续时间
"Nature's Adrenaline",大自然的肾上腺素
"Master Surgeon",手术大师
"Flask Effect and Charges Gained",药剂效果，元素抗性
"Nature's Boon",自然的恩赐
"Master Alchemist",炼金术大师
"Flask Effect, Attack Damage","药剂效果, 攻击伤害"
"Veteran Bowyer",制箭大师
"Flask Effect, Chaos Damage","药剂效果, 持续伤害"
"Nature's Reprisal",大自然的复仇
"Physical Attack Damage",物理攻击伤害
Life,生命
"Mana Flows",魔力之流
Bravery,英勇
Trickery,诡计
Endurance,耐力
Devotion,奉献
Vigour,活力之源
Revelry,狂欢
Dynamo,蓄电
"Claws of the Magpie",鹊爪
"Claw Damage",爪的伤害
"Soul Raker",灵魂收割者
"Claw Damage and Attack Speed",爪伤害和攻击速度
"Claw Mastery",爪类专精
"Claw Critical Strike Chance and Multiplier",爪暴击率和伤害
"Claw Damage and Leech","爪类伤害和偷取 "
"Claws of the Hawk",鹰隼之爪
"Life Leech and Attack Speed",生命偷取和攻击速度
"Lust for Carnage",汲血者
"Life Leech Speed and Attack Speed",生命偷取速度和攻击速度
"Flash Freeze",急速冻结
"Cold Mastery",冰霜专精
"Weapon Cold Damage",武器冰霜伤害
"Winter Spirit",物冰转换
MARAUDER,野蛮人
"Melee Damage and Life",近战伤害和生命
"Blunt Trauma",麻痹创伤
"Staff Elemental Damage",长杖元素伤害
"One with the River",与水同行
"Staff Critical Strike Chance and Multiplier",长杖暴击率和伤害加成
"Staff Critical Strike Chance and Accuracy",长杖暴击率和命中值
"Totem and Brand Damage and Critical Strike Chance",图腾和烙印伤害和暴击率
"Totem and Brand Critical Strike Chance",图腾和烙印暴击率
"Totem and Brand Critical Strike Multiplier",图腾和烙印暴击伤害
"Shaman's Dominion",萨满圣域
"Elemental Damage, Attack and Cast Speed",元素伤害和攻击和施法速度
"Elemental Damage, Life Regeneration","元素伤害, 生命再生"
"Elemental Damage and Resistances",元素伤害和抗性
"Elemental Damage, Critical Strike Multiplier","元素伤害, 暴击伤害"
"Inevitable Judgement",命运审判
"Augury of Penitence",忏悔之兆
"Instruments of Virtue",美德之器
"Pious Path",廉简之途
"Knockback Chance",击退几率
"Knockback Distance",击退距离
Fending,自卫术
Bloodless,无血之体
"Life Mastery",生命专精
Fusillade,聚灵之杖
"Elder Power",智慧之力
"Wand Damage",法杖伤害
"Wand Critical Strike Chance and Multiplier",法杖暴击率和伤害
Disintegration,解离
"Stun Threshold Reduction",晕眩门坎降低
"Stun Duration",晕眩持续
"Stun Mastery",眩晕专精
"Energy Shield Mastery",能量护盾专精
"Evasion and Energy Shield",闪避和能量护盾
"Void Barrier",虚影屏障
"Unnatural Calm",沉寂之心
Expertise,超群身法
"Armour and Life Regeneration",护甲与生命再生
"Armour Mastery",护甲专精
"Combat Stamina",战斗精力
"Minion Damage and Mana",召唤生物伤害和魔力
"Aligned Spirits",精魂盟友
"Path of the Warrior",战士之路
Constitution,构成
"Life and Chaos Resistance",生命和混沌抗性
"Purity of Flesh",肉体之纯净
"Warrior's Blood",战士之血
Damage,伤害
"Fangs of Frost",刺骨寒冰
"Spell Damage per Power Charge",暴击球法术伤害
Instability,聚能之界
"Power Charge Duration",暴击球持续时间
"Divine Fervour",元素催化
"Holy Dominion",神圣统御
"Light of Divinity",神圣启蒙
Wandslinger,斗杖者之力
"Wand Damage and Accuracy",法杖伤害和命中
"Wand Physical Damage and Attack Speed",法杖物理伤害和攻击速度
"Wand Physical Damage",法杖物理伤害
"Wand Fire Damage",法杖火焰伤害
"Wand Cold Damage",法杖冰霜伤害
"Tempest Blast",风暴冲击
"Dagger Critical Strike Chance and Multiplier",匕首暴击率和加成
"Dagger Damage",匕首伤害
Flaying,剥皮刃
"Dagger Damage and Attack Speed",匕首伤害和攻击速度
Backstabbing,偷袭
"Minion Damage and Accuracy",召唤生物伤害和命中
Gravepact,亡灵之约
"Claws of the Falcon",猎鹰之爪
"Claw Damage and Critical Strike Chance",爪伤害和暴击率
"Claw Accuracy and Critical Strike Chance","爪类命中值和暴击率 "
"Grave Intentions",亡灵之誓
"Minion Life and Resistances",召唤生物生命和抗性
"Death Attunement",亡灵谐曲
"Minion Life and Life Regeneration",召唤生物生命和生命回复
"Minion Life and Damage",召唤生物生命和伤害
"Minion Damage and Life Leech",召唤生物伤害和生命偷取
"Minion Life Regeneration",召唤生物生命再生
Sacrifice,亡灵招集
"Minion Life Leech",召唤生物生命偷取
"Blood Siphon",血液抽取
"Soul Siphon",灵魂吸收
Foresight,先见之明
Overcharge,强化聚能
"Faith and Steel",钢之信仰
"Armour and Energy Shield",护甲和能量护盾
"Mind Drinker",汲灵术
"Cold Damage, Freeze and Chill Duration, Chill Effect","冰霜伤害, 冰冻与冰缓持续时间，冰缓效果"
"Fingers of Frost",凛冽之指
"Cold Damage, Freeze Chance and Chill Effect","冰霜伤害, 冰冻几率和冰缓效果"
"Cold Damage Over Time Multiplier",持续冰霜伤害加成
"Channelling Damage",吟唱技能伤害
"Channelling Damage and Speed",吟唱技能伤害和速度
"Singular Focus",单一专注
"Channelling Mastery",吟唱专精
"Fire Damage and Burning Damage Multiplier",火焰伤害和燃烧伤害加成
"Heart of Flame",火焰之心
"Fire Damage and Ignite Chance",火焰伤害和点燃几率
"Fire Mastery",火焰专精
"Breath of Flames",火焰之息
"Fire Damage and Life Regeneration",火焰伤害和生命再生
Arsonist,焚烧
"Magmatic Strikes",熔岩打击
"Energy Shield and Energy Shield Recharge Rate",能量护盾和能量护盾回复率
"Essence Surge",精纯之潮
"Heart of Ice",冰雪之心
"Cold Damage, Freeze and Chill Duration","冰霜伤害, 冰冻与冰缓持续"
"Cold Damage, Cold Damage Over Time Multiplier and Chill Effect",冰霜伤害，持续冰霜伤害加成和冰缓效果
"Cold Damage, Cold Damage Over Time Multiplier and Freeze Chance",冰霜伤害、冰霜持续伤害加成和冻结几率
"Breath of Rime",霜雪之息
Infused,灌注
"Soul Thief",窃魂者
"Holy Fire",神圣之火
"Projectile Damage and Speed",投射物伤害和速度
"Projectile Damage",投射物伤害
"Fury Bolts",破空弹
"Spell Critical Strike Chance",法术暴击率
"Spell Critical Strike Multiplier",法术暴击伤害
"Arcane Potency",秘能爆发
Amplify,增幅
"Area of Effect",影响范围
"Area of Effect Damage",范围伤害
"Deep Thoughts",沉静思维
"Cruel Preparation",残忍准备
"Mana Regeneration and Life",魔力再生与生命
"Quick Recovery",快速回复
"Bow Accuracy and Attack Speed",弓类命中值和攻击速度
"Bow Damage and Accuracy",弓类伤害和命中值
Dreamer,幻梦者
"Arcane Focus",秘能之心
"Energy Shield and Recovery, Mana Regeneration",能量护盾与回复，魔法回复
"Arcane Will",奥术意志
"Critical Strike Multiplier",暴击伤害
Throatseeker,割战者
Nimbleness,巧语
"Cast Speed and Spell Critical Strike Chance",施法速度和法术暴击几率
"Life and Flasks",生命与药剂
"Profane Chemistry",生物学
"Mental Rapidity",精神迅捷
"Spell Damage",法术伤害
"Dual Wield Attack Speed",双持攻击速度
Gemini,双灵刃
"Dual Wield Damage and Block",双持伤害和格挡
"Deep Wisdom",沉静智慧
"Skill Duration",技能持续时间
"Potency of Will",意志之力
"Ancestral Knowledge",先祖智慧
"Exceptional Performance",卓越的表现
"Precise Interception",防卫之眼
"Attack Damage and Speed with Shield",持盾的攻击伤害和速度
"Attack Damage and Accuracy with Shield",持盾的物理攻击命中值
"Dual Wield Damage and Accuracy",双持伤害和命中值
"Aspect of the Panther",猎豹祝福
"Dual Wield Damage and Attack Speed",双持伤害和攻击速度
"Adder's Touch",毒蛇之牙
"Dagger Damage and Poison Chance",匕首伤害和中毒几率
"Dagger Critical Strike Multiplier and Poison Duration",匕首暴击伤害加成和中毒持续时间
"Brutal Blade",残暴之刃
"Sword Critical Strike Chance and Multiplier",剑类暴击率和伤害加成
"Sword Damage and Critical Strike Chance",剑的伤害和暴击率
"Fatal Blade",致命之刃
"Written in Blood",血书
"Life and Energy Shield",生命与能量护盾
"Life and Energy Shield Mastery",生命与能量护盾精通
"Poisonous Fangs",回转死神
"Claw Damage and Poison Chance",爪类伤害和中毒几率
"Claw Damage and Ailment Damage",爪的伤害和异常状态伤害
"Claw Attack Speed and Poison Chance","爪类攻击速度和中毒几率 "
"From the Shadows",影刃
"Dagger Damage and Movement Speed",匕首伤害和移动速度
"Claw Attack Speed and Movement Speed",爪类攻击速度和移动速度
"Claws of the Pride",坚强之爪
"Claw Attack Speed and Movement Skill Cooldown",爪类攻击速度和移动技能冷却时间
"Mine Mastery",地雷专精
"Mine Critical Strike Chance",地雷暴击率
"Mine Critical Strike Multiplier",地雷暴击加成
"Mine Critical Strike Chance and Multiplier",地雷暴击率和加成
"Successive Detonations",连续引爆
"Heavy Draw",强弩
"Physical Bow Damage and Area of Effect",弓类物理伤害和效果区域
"Physical Bow Damage and Chance to Bleed",弓类物理伤害和流血几率
"Bow Mastery",弓类专精
"Physical Bow Damage",弓类物理伤害
"Deadly Draw",致命箭矢
"Bow Damage and Critical Strike Chance",弓类伤害和暴击率
"Bow Damage and Attack Speed",弓类伤害和攻击速度
"Bow Damage and Critical Strike Multiplier",弓类伤害和暴击伤害加成
"King of the Hill",强弩之弦
"Master Fletcher",飞矢宗师
"Aspect of the Eagle",鹰灵祝福
"Bow Attack Speed and Critical Strike Chance",弓的攻击速度和暴击率
"Bow Damage and Chance to Poison",弓的伤害和中毒几率
"Hunter's Gambit",猎人之势
"Bow Damage",弓类伤害
Fervour,激情
"Evasion Per Frenzy Charge",每个狂怒球的闪避值
"Frenzy Charge Duration",狂怒球持续时间
Frenetic,狂热
"Blood Drinker",汲血者
"Sword Damage and Critical Strike Multiplier",剑类伤害和暴击伤害加成
"Blade of Cunning",巧刃
"Sword Attack Speed and Critical Strike Chance",剑类攻击速度和暴击率
Prowess,英勇
Savagery,野性之心
"Cloth and Chain",迅影秘术
Herbalism,药草学
Reflexes,反射
Beef,壮汉
"Shield Spell Block and Block Recovery",盾牌格挡法术
Deflection,偏转
"Shield Block and Shield Defences",盾牌防御
"Stun Avoidance and Movement Speed",避免晕眩与移动速度
"Heart of Oak",橡木之心
"Primal Spirit",原始精神
"Mana and Flask Effect",魔力和药剂效果
"Aura Area of Effect",光环效果范围
"Aura Effect",光环效果
"Champion of the Cause",起源
"Attack and Movement Speed",攻击与移动速度
"Druidic Rite",德鲁伊的仪式
Quickstep,疾步
"Lightning Damage and Shock Avoidance",闪电伤害和感电减免
"Fire Damage and Ignite Avoidance",火焰伤害和点燃减免
"Cold Damage, Freeze and Chill Avoidance",冰霜伤害、冻结和冻缓减免
"Crystal Skin",魔晶之肤
"Avoid Status Ailments and Elemental Resistances",异常状态避免和元素抗性
"Dual Wield Damage",双持伤害
Dervish,修行之刃
"Dual Wield Accuracy",双持武器命中
RANGER,游侠
"Evasion and Life",闪避和生命
"Projectile Damage and Attack Speed",投射物伤害与攻击速度
Accuracy,命中
"Accuracy and Attack Speed",命中和攻击速度
Acuity,心眼
"Accuracy and Elemental Resistances",命中和元素抗性
"Weathered Hunter",夜之狩猎
"Depth Perception",潜意识
"Ballistic Mastery",投射宗师
WITCH,女巫
"Energy Shield and Mana Regeneration",能量护盾和魔力再生
TEMPLAR,圣堂武僧
"Damage and Mana",元素伤害
"Reduced Mana Reservation",降低魔力保留
Sovereignty,主权
"Aura Mastery",光环专精
"Heart of the Warrior",战士之心
Versatility,俊敏
"Melee Area of Effect and Damage",近战效果区域和伤害
Brinkmanship,羁縻
"Shield Defences and Attack Damage with Shields",盾牌防御和持盾攻击速度
"Shield Block and Attack Speed",盾牌格挡和攻击速度
"Command of Steel",钢铁命令
"Serpent Stance",蛇影战阵
"Attack Damage",攻击伤害
Influence,影响
"Weapon Artistry",舞刃宗师
"Aspect of the Lynx",山猫之灵
"Attack Damage and Accuracy",攻击伤害和命中值
Ambidexterity,卓越
"Blade Barrier",剑刃屏障
"Duel Wield Mastery",双持武器专精
"Essence Glutton",精华吞噬
"Critical Strike Chance",暴击率
Heartseeker,刺心者
Destroyer,破坏者
"Two Handed Attack Speed",双手武器攻击速度
"Bow Critical Strike Chance",弓的暴击率
Lethality,致命锋芒
"Bow Critical Strike Chance and Multiplier",弓类暴击率和暴击加成
"Fire Damage and Cast Speed with Fire Skills",火焰伤害和火焰技能施法速度
"Fire Damage and Fire Conversion",火焰伤害和火焰转化
"Explosive Impact",暴烈冲击
Swagger,双刃之舞
"Dual Wield Attack Speed and Block",双持攻击速度与格挡
"Mana and Life",魔力和生命
"Heart and Soul",心与灵
"Practical Application",化虚为实
"Avoid Interruption while Casting",施法时回避打断
SIX,六
"Physical and Chaos Damage and Life",物理和混沌伤害与生命
"Fire and Cold Damage",火焰和冰霜伤害
"Fire Damage and Fire Skill Critical Multiplier",火焰伤害和火焰技能暴击加成
"Cold Damage and Cold Skill Critical Strike Chance",冰霜伤害和冰霜技能暴击加成
Snowforged,雪锻
"Cold and Fire Mastery",冰霜和火焰专精
"Master Toxicist",制毒宗师
"Melee Critical Strike Multiplier",近战暴击加成
Disemboweling,开肠剖肚
"Melee Critical Strike Chance",近战暴击率
"Melee Critical Mastery",近战暴击专精
"Damage Over Time and Life Regeneration",持续伤害与生命回复
"Damage Over Time",持续伤害加成
"Growth and Decay",成长与衰变
"Chaos Mastery",混沌专精
"Lethal Assault",王牌射手
"Evasion, Energy Shield, Life and Resistances",闪避值、能量护盾、生命和抗性
Resourcefulness,智谋
"Damage, Area and Projectile Speed",伤害、区域和投射物速度
"Battle Rouse",战斗鼓舞
Hematophagy,吸血
Coordination,和谐之体
"Minion Attack Speed and Accuracy",召唤生物攻击速度与命中
"Spiritual Command",灵魂之令
"Brand Damage",烙印伤害
"Explosive Runes",爆炸符文
"Sleight of Hand",戏法
"Physical Damage",物理伤害
"Will of Blades",利刃意志
"Mine Throwing and Detonation Speed",地雷投掷和引爆速度
"Mine Damage and Reduced Mana Reservation",地雷伤害和降低魔力保留
"Volatile Mines",零秒出手
"Mine Damage and Duration",地雷伤害和持续时间
"Revenge of the Hunted",死亡通缉
"Utmost Intellect",终极智慧
Physique,壮硕之体
"Sword Attack Speed and Accuracy",剑类攻击速度和命中值
"Sword Damage and Accuracy",剑类伤害和命中值
"Honed Edge",锋芒毕露
"Master of the Arena",决战宗师
"Arcane Vision",奥术目光
"Art of the Gladiator",斗士艺术
"Essence Sap",灵魂虚空
Agility,灵敏
Alacrity,迅捷
Berserking,狂战之魂
"Attack and Cast Speed, Accuracy","命中, 攻击速度与施法速度"
"Discipline and Training",严峻训练
"Elemental Damage, Status Ailment Chance","元素伤害, 异常状态持续时间"
"Beacon of Ruin",毁灭光炮塔
"Shaper of Desolation",悲伤织者
"Liege of the Primordial",原始之君
"Mastermind of Discord",混沌天才
"Pendulum of Destruction",毁灭之钟
"Paragon of Calamity",模范灾难
Elemancer,魔像使
Sentinel,哨兵
"Projectile Damage, Attack Speed",投射物伤害和攻击速度
"Fast and Deadly",致命速度
Ricochet,弹射
"Projectile Damage, Accuracy",投射物伤害和命中值
"Endless Munitions",无限弹药
"Projectile Damage, Critical Strike Chance","投射物伤害, 暴击率"
Rupture,断裂
"Powerful Precision",极致准心
"Gathering Winds",聚风
Proficiency,熟能生巧
Block,格挡
"Block and Block Recovery",格挡与格挡回复
"Poison and Bleed Damage",烈毒和流血伤害
"Poison and Bleed Chance",中毒和流血几率
"Dirty Techniques",卑劣手法
"Two Handed Melee Critical Strike Chance and Accuracy",双手武器近战暴击率和命中值
"Titanic Impacts",泰坦冲击
"Evasion, Frenzy Charge Duration","闪避, 狂怒球持续时间"
"Way of the Poacher",盗猎者之途
"Avatar of the Slaughter",冷酷使徒
"Evasion, Onslaught Duration","闪避, 猛攻持续时间"
"Rapid Assault",极速进攻
"Avatar of the Chase",追猎使徒
"Evasion, Movement Speed","闪避, 移动速度"
"Quartz Infusion",石英化身
"Avatar of the Veil",面纱女神
"Minion Damage and Area of Effect",召唤生物伤害和效果区域
"Fearsome Force",恐怖之力
"Minion Life and Block",召唤生物生命和格挡
"Decay Ward",腐蚀之卫
"Minion Life and Spell Block",召唤生物生命和法术格挡
"Arcanist's Dominion",奥术师的统御
"Thief's Craft",盗贼工艺
"Life and Reduced Mana Cost",生命与减少魔力消耗
Tireless,冷酷
"Minion Damage and Movement Speed",召唤生物伤害和移动速度
"Ravenous Horde",贪婪部落
"Mana Flasks",魔力药剂
"Essence Extraction",精华萃取
"Chaos Damage with Attacks and Poison Damage Multiplier",攻击混沌伤害和烈毒伤害加成
"Toxic Strikes",涂毒攻击
"Righteous Army",公正大军
Redemption,救赎
"Spiritual Aid",灵魂援助
"Whispers of Doom",灭世之语
"Curse Cast Speed",诅咒施法速度
Retribution,制裁
"Armour and Energy Shield, Block Chance","护甲和能量护盾, 格挡几率"
"Time of Need",紧急时刻
"Radiant Faith",信念之辉
"Bastion of Hope",希望壁垒
"Armour and Energy Shield, Life Regeneration","护甲和能量护盾, 生命再生"
"Armour and Energy Shield, Aura Effect","护甲和能量护盾, 光环效果"
"Armour and Energy Shield, Charge Duration","护甲和能量护盾, 能量球持续时间"
"Harmony of Purpose",和谐之源
"Unwavering Faith",不动信念
"Armour and Energy Shield, Minion Damage",护甲和能量护盾，召唤生物伤害
"Radiant Crusade",光芒圣战军
"Unwavering Crusade",坚毅圣战军
"Weapon Elemental Damage, Status Ailment Chance","武器元素伤害, 异常状态几率"
"Weapon Elemental Damage",武器元素伤害
"Primeval Force",元素注入
"Weapon Elemental Mastery",武器元素精通
"Wisdom of the Glade",原野智慧
"Galvanic Hammer",聚能之锤
"Mace Critical Strike Chance and Multiplier",锤类暴击率和伤害加成
"Sceptre Mastery",短杖专精
"Mace Elemental Damage and Accuracy",锤的元素伤害与命中
"Pain Forger",痛苦大师
"Hard Knocks",静修
"Skittering Runes",飞掠符文
"Damage Over Time and Chaos Damage Over Time Multiplier",持续伤害和混沌持续伤害加成
Atrophy,萎缩
"Physical Damage and Attack and Cast Speed",物理伤害和攻击及施法速度
"Force Shaper",力量成形
"Physical and Chaos Damage",物理与混沌伤害
"Physical and Chaos Mastery",物理与混沌专精
"Armour and Evasion, Taunt Duration","护甲和闪避, 嘲讽持续时间"
"Armour and Evasion, Attack Damage",护甲和闪避，攻击伤害
"Armour and Evasion, Aura Effect","护甲和闪避, 光环效果"
Fortitude,坚毅
"Unstoppable Hero",不败英雄
Conqueror,征服者
"Worthy Foe",可敬的对手
Inspirational,启发
"First to Strike, Last to Fall",嗜战如命
"Armour and Evasion, Impale Effect",护甲和闪避，穿刺效果
"Master of Metal",钢铁大师
"Attack and Cast Speed",攻击和施法速度
"Warcry Cooldown Speed",战吼冷却速度
"Warcry Duration",战吼持续时间
"Battle Cry",战吼
Finesse,娴熟
"Attack Speed and Poison Chance",攻击速度和中毒几率
"Attack Speed, Poison Damage and Poison Damage Multiplier",攻击速度、烈毒伤害和烈毒伤害加成
"Attack Speed and Poison Duration",攻击速度和中毒持续时间
"Swift Venoms",迅速致毒
"Poison Mastery",中毒专精
Might,坚强力量
"Energy Shield Leech",能量护盾偷取
"Increased Energy Shield Leeched",能量护盾偷取提高
"Ethereal Feast",空灵盛宴
"Movement Speed",移动速度
Assassination,暗影
"Trap and Mine Throwing Speed",陷阱和地雷投掷速度
"Twin Terrors",双重惧刃
"Dual Wield Critical Strike Chance and Accuracy",双持武器暴击率和命中值
"Dual Wield Critical Strike Multiplier and Accuracy",双持武器暴击伤害加成和命中值
"Dual Wield Critical Strike Chance",双持暴击率
"Doom Cast",灭世之灵
"Spell Critical Mastery",法术暴击精通
"Golem's Blood",魔像血统
