"Lava Lash",熔岩之力
"Wand Elemental Damage and Penetration",法杖元素傷害和穿透
Fusillade,聚靈之杖
"Spell Damage per Power Charge",暴擊球法術傷害
"Shock Chance",感電機率
"Static Blows",充能之擊
"Lightning Damage and Shock Chance",閃電傷害和感電機率
Wandslinger,鬥杖者之力
"Wand Physical Damage and Attack Speed",法杖物理傷害和攻擊速度
"Wand Physical Damage",法杖物理傷害
"Wand Damage",法仗傷害
"Wand Damage and Attack Speed",法杖傷害和攻擊速度
"Elder Power",智慧之力
"Dagger Critical Strike Multiplier",匕首暴擊加成
"Dagger Critical Strike Chance and Leech",匕首暴擊率和偷取
Nightstalker,夜襲
"Dagger Critical Strike Chance and Multiplier",匕首暴擊率和暴擊加成
"Dagger Damage",匕首傷害
Flaying,剝皮刃
"Claws of the Magpie",鵲爪
"Claw Damage",爪的傷害
"Claws of the Falcon",獵鷹之爪
"Grave Intentions",亡靈之誓
"Death Attunement",亡靈諧曲
"Minion Life",召喚物生命
"Minion Life and Chaos Resistance",召喚物生命和混沌抗性
"Minion Life Regeneration",召喚物生命回復
"Minion Damage and Accuracy",召喚物傷害和命中
"Minion Damage",召喚物傷害
"Wand Lightning Damage",法杖閃電傷害
"Energy Shield",能量護盾
Overcharge,強化聚能
"Mind Drinker",汲靈術
"Heart of Thunder",雷霆之心
"Lightning Critical Strike Multiplier",閃電傷害
"Lightning Walker",雷靈之道
"Lightning Damage",閃電傷害
"Freeze Chance",冰凍機率
"Flask Charges Gained",獲得藥劑充能
"Fire Damage",火焰傷害
"Fire Walker",火靈之道
"Burning Damage Multiplier",燃燒傷害加成
"Fire Damage and Life Regeneration",火焰傷害和生命回復
Arsonist,縱火
"Energy Shield and Energy Shield Recharge Rate",能量護盾和能量護盾回復率
"Fingers of Frost",凜冽之指
"Frost Walker",冰靈之道
"Cold Damage",冰冷傷害
"Cold Damage and Freeze Chance",冰冷傷害和冰凍機率
"Heart of Ice",冰雪之心
"Cold Ailment Duration",冰冷異常狀態持續時間
"Cold Damage Over Time Multiplier",冰冷持續傷害加成
"Holy Fire",神聖之火
"Spell Critical Strike Chance",法術暴擊率
"Spell Critical Strike Multiplier",法術暴擊加成
"Arcane Potency",秘能爆發
Amplify,增幅
"Area of Effect",影響範圍
"Area of Effect Damage",範圍傷害
"Deep Thoughts",沉靜思維
"Mana Regeneration and Life",魔力回復與生命
"Mana Regeneration and Reduced Mana Cost",魔力回復和減少魔力消耗
"Critical Strike Multiplier",暴擊加成
Nimbleness,巧語
"Cast Speed",施放速度
"Cast Speed and Spell Critical Strike Chance",施放速度
Vampirism,吸血主義
"Fangs of Frost",刺骨寒冰
"Wrecking Ball",崩雷
"Skill Duration",技能持續時間
"One With Nature",自然合一
"Adder's Touch",毒蛇之觸
"Sword Damage and Block",劍的傷害和格擋
"Sword Damage and Attack Speed",劍的傷害和攻擊速度
"Blade Master",刀劍宗師
"Poisonous Fangs",迴轉死神
"Dagger Damage and Attack Speed",匕首傷害和攻擊速度
"From the Shadows",影刃
"Life Raker",生靈收割者
Intuition,直覺
"Claw Damage and Attack Speed",爪的傷害和攻擊速度
"Heavy Draw",強弩
"Physical Bow Damage and Stun Threshold",物理弓傷害和暈眩門檻
"Bow Damage Over Time",弓持續傷害
"Bow Critical Strike Chance and Multiplier",弓暴擊率和加成
"Bow Damage",弓傷害
"Bow Damage and Attack Speed",弓的傷害和攻擊速度
"Bow Damage and Accuracy",弓的傷害和命中
"Bow Damage and Critical Strike Chance",弓的傷害和暴擊率
"Poison Chance and Damage",中毒機率和傷害
"Hunter's Gambit",獵人之局
Fervour,激情
Frenetic,狂熱
Savagery,野性之心
"King of the Hill",強弩之弦
"Frenzy Charge Duration",狂怒球持續時間
Herbalism,藥草學
"Evasion Per Frenzy Charge",每顆狂怒球閃避
"Evasion and Spell Suppression",閃避和法術壓抑
"Life and Stun Avoidance",生命和避免暈眩
"Mana and Mana Regeneration",魔力和魔力回復
"Mana Flows",魔力之流
"Mana and Flask Charges Gained",魔力和藥劑充能獲得
"Heart of Oak",橡木之心
"Shock Avoidance",避免感電
"Ignite Avoidance",避免點燃
"Freeze and Chill Avoidance",避免冰凍與冰緩
"Dual Wield Attack Speed",雙持攻擊速度
"Projectile Damage and Accuracy",投射物傷害和命中
"Projectile Damage and Attack Speed",投射物傷害與攻擊速度
"Accuracy and Attack Speed",命中和攻擊速度
"Accuracy and Elemental Resistances",命中和元素抗性
"Weathered Hunter",夜之狩獵
"Depth Perception",潛意識
Acuity,心眼
Ballistics,彈道學
"Projectile Damage",投射物傷害
MARAUDER,野蠻人
WITCH,女巫
Sorceress,女術者
Mercenary,傭兵
"Gemling Legionnaire",古靈軍團
Monk,僧侶
Invoker,施法者
Warrior,戰士
WarBringer,戰爭使者
RANGER,遊俠
DUELIST,決鬥者
TEMPLAR,聖堂武僧
"Two Handed Melee Damage and Life Leech Speed",雙手武器近戰傷害和收命偷取
Executioner,處決者
Cleaving,劈砍
"Shield Defences",盾牌防禦
"Shield Damage and Block",盾牌傷害和格擋
"Blood Siphon",血液抽取
"Accuracy and Attack Damage",命中和攻擊傷害
"Weapon Artistry",舞刃宗師
"Dual Wield Damage",雙持傷害
Ambidexterity,卓越
"Critical Strike Chance",暴擊率
Heartseeker,刺心者
"Razor's Edge",剃刃
"Weapon Elemental Damage",武器元素傷害
"Aspect of the Eagle",鷹靈祝福
Butchery,屠戮
"Two Handed Melee Damage and Area of Effect",雙手武器近戰傷害和範圍效果
Destroyer,破壞者
"Two Handed Attack Speed",雙手武器攻擊速度
"Attack Speed",攻擊速度
"Brutal Blade",殘暴之刃
"Bow Accuracy",弓的命中
"Bow Attack Speed and Accuracy",弓的攻擊速度和命中
"Projectile Attack Critical Strike Chance",投射物攻擊暴擊率
Lethality,致命鋒芒
"Projectile Attack Critical Strike Chance and Multiplier",投射物攻擊暴擊率和加成
"Master Fletcher",飛矢宗師
Testudo,龜甲盾
"Evasion and Life",閃避和生命
"Melee Damage and Life",近戰傷害和生命
"Blade Barrier",劍刃屏障
"Sword Critical Strike Chance and Multiplier",劍的暴擊率和加成
"Crystal Skin",魔晶之膚
"Mana and Life",魔力和生命
SIX,六
"Melee Damage",近戰傷害
"One Handed Melee Damage",單手武器近戰傷害
"Melee Critical Strike Multiplier",近戰暴擊加成
"Spell Damage and Mana",法術傷害和魔力
"Damage and Mana",傷害和魔力
"Spell Damage",法術傷害
"Movement Speed and Spell Suppression",移動速度和法術壓抑
"Diamond Skin",珍鑽肌膚
Evasion,閃避
"Arcane Focus",秘能之心
Instability,聚能之界
Infused,灌注
"Mana Regeneration",魔力回復
Disemboweling,開腸剖肚
"Melee Critical Strike Chance",近戰暴擊率
"Divine Fervour",聖情
Throatseeker,割喉者
"Minion Attack and Cast Speed",召喚物攻擊和施放速度
Prowess,無畏
Strength,力量
Beef,壯漢
Physique,壯碩之體
"Master of the Arena",決戰宗師
"Heart of the Warrior",戰士之心
"Art of the Gladiator",鬥士藝術
Agility,靈敏
Dexterity,敏捷
Alacrity,迅捷
Precision,精準
Proficiency,熟能生巧
Expertise,超群身法
"Ancestral Knowledge",先祖智慧
Intelligence,智慧
"Deep Wisdom",沉靜智慧
"Arcanist's Dominion",奧術師之統御
"Thief's Craft",盜賊工藝
"Wisdom of the Glade",原野智慧
"Holy Dominion",聖御
"Galvanic Hammer",聚能之錘
"Mace Critical Strike Chance and Multiplier",錘的暴擊率和加成
"Hard Knocks",靜修
Coordination,和諧之體
Finesse,嫻熟
Presage,預示
Might,堅強力量
"Movement Speed",移動速度
"Attack Damage",攻擊傷害
Dervish,修行之刃
Berserking,狂戰之魂
"Twin Terrors",雙重懼刃
"Dual Wield Critical Strike Multiplier and Accuracy",雙持武器暴擊加成和命中
"Doom Cast",滅世之靈
Trickery,詭計
"Sleight of Hand",戲法
"One Handed Damage",單手武器傷害
"Shield Block and Elemental Resistances with a Shield",盾牌格擋和持盾元素抗性
"Sword Critical Strike Chance",劍的暴擊率
"Savage Wounds",殘疤
"Golem's Blood","魔像血統 "
"Evasion and Elemental Resistances",閃避與元素抗性
Reflexes,反射
Swagger,雙刃之舞
Block,格檔
"Dual Wield Block and Attack Speed",雙持格擋和攻擊速度
"Ignite Chance and Duration",點燃機率和持續時間
"Heart of Flame",火焰之心
"Revenge of the Hunted",死亡通緝
"Life and Elemental Ailment Avoidance",生命和避免元素異常狀態
"Blast Radius",法術範圍增幅
"Lord of the Dead",亡靈之主
Gravepact,亡靈之約
"Minion Life and Damage",召喚物生命和傷害
Accuracy,命中
"Fury Bolts",破空彈
"Minion Instability",復仇之靈
Conduit,能量連結
Acrobatics,移形換影
"Iron Reflexes",霸體
"Resolute Technique",堅毅之心
"Unwavering Stance",烈士意志
"Chaos Inoculation",異靈之體
"Eldritch Battery",異能魔力
"Blood Magic",祭血術
Versatility,俊敏
"Attack and Cast Speed, Accuracy",命中、攻擊速度與施放速度
Sacrifice,獻祭
"Thick Skin",強化之膚
"Written in Blood",血書
"Cruel Preparation",殘忍準備
"Faith and Steel",鋼之信仰
"Necromantic Aegis",靈能神盾
"Pain Attunement",苦痛靈曲
"Elemental Equilibrium",元素之相
"Iron Grip",堅鐵之力
"Point Blank",零點射擊
"Arrow Dancing",箭矢閃躍
"Whispers of Doom",滅世之語
Devotion,奉獻
"Discipline and Training",嚴峻訓練
"Reservation Efficiency",保留效用
Leadership,領導精神
"Aura Area of Effect",光環範圍效果
"Unnatural Calm",沉寂之心
"Purity of Flesh",肉體之純潔
"Coldhearted Calculation",冷酷計算
"Evasion and Energy Shield",閃避和能量護盾
"Fangs of the Viper",毒蛇之牙
Assassination,刺殺
"Fire Damage and Area of Effect",火焰傷害和範圍效果
"Attack Ignite Chance and Attack Speed",攻擊點燃機率和攻擊速度
"Weapon Lightning Damage",武器閃電傷害
"Trap and Mine Throwing Speed",陷阱與地雷投擲速度
"Trap Critical Strike Chance and Multiplier",陷阱暴擊率和加成
"Mine Critical Strike Chance and Multiplier",地雷爆擊率和加成
"Ancestral Bond",先祖魂約
"Attack Speed and Accuracy",攻擊速度與命中
"Soul of Steel",堅鋼之靈
"Mana Regeneration and Intelligence",魔力回復與智慧
"Spell Damage and Intelligence",法術傷害與智慧
"Projectile Damage and Dexterity",投射物傷害與敏捷
"Attack Speed and Dexterity",攻擊速度與敏捷
"Life and Strength",生命與力量
"Physical Damage and Strength",物理傷害與力量
"Physical Damage",物理傷害
"Fire Resistance",火焰抗性
"Cold Resistance",冰冷抗性
"Lightning Resistance",閃電抗性
"Ghost Reaver",靈能護體
"Vaal Pact",瓦爾冥約
"Void Barrier",虛影屏障
"Armour and Evasion",護甲和閃避
"Cloth and Chain",迅影秘術
"Serpent Stance",蛇影戰陣
"Energy Shield Recharge Rate",能量護盾充能率
"Zealot's Oath",狂熱誓言
"Mana and Aura Area of Effect",魔力和光環範圍效果
"Primal Spirit",原始精神
"Mana and Flask Effect",魔力和藥劑效果
Seven,七
"Totem Damage and Placement Speed",圖騰傷害和放置速度
"Totem Attack and Cast Speed",圖騰攻擊和施放速度
"Shamanistic Fury",薩滿之怒
"Totem Life and Elemental Resistances",圖騰生命和元素抗性
Ironwood,鐵木
"Primal Manifestation",圖騰專精
"Totem Placement Speed and Duration",圖騰放置速度和持續時間
"Totem Life and Placement Speed",圖騰生命和放置速度
"Totemic Zeal",熱情圖騰
"Trap Damage",陷阱傷害
"Trap and Mine Damage",陷阱和地雷傷害
"Mine Detonation Speed",地雷引爆速度
"Volatile Mines",零秒出手
"Trap Throwing Speed",陷阱投擲速度
"Master Sapper",工兵大師
"High Explosives",煉獄炸彈
"Mine Damage",地雷傷害
"Clever Construction",聰明的建設
Saboteur,破壞者
"Path of the Warrior",戰士之路
"Path of the Savant",賢者之路
"Path of the Hunter",獵人之路
Shaper,聖杯
Sentinel,哨兵
Harrier,海獵鷹
"Avatar of Fire",火之化身
"Mind Over Matter",心靈昇華
"Essence Infusion",精髓灌注
"Aura Effect",光環效果
Influence,影響
Charisma,魅力
Sovereignty,主權
"Attack Speed and Rage ",攻擊速度和盛怒
"Mace Damage and Attack Speed",錘的傷害和攻擊速度
"Damage Over Time",持續傷害
"Chaos Damage and Withered Expiry Rate",混沌傷害和凋零失效率
Entropy,亂世
"Chaos Damage",混沌傷害
"Chaos Damage Over Time Multiplier",混沌持續傷害加成
"Chaos Resistance",混沌抗性
"One with Evil",邪靈合一
Corruption,腐化
"Minion Block",召喚物格擋
"Decay Ward",腐蝕之衛
"Minion Spell Block",召喚物法術格擋
"Strong Arm",強壯手臂
"Stun Duration",暈眩持續
Goliath,巨靈
"Axe Damage and Impale Chance",斧傷害和穿刺機率
"Physical and Chaos Damage and Life",物理和混沌傷害與生命
"Physical and Chaos Damage",物理與混沌傷害
"Soul Siphon",靈魂吸收
"Clever Thief",聰穎盜賊
"Blood Drinker",嗜血者
"Energy Shield and Mana",能量護盾和魔力
"Energy Shield and Mana Regeneration",能量護盾和魔力回復
"Energy Shield and Recovery",能量護盾和回復
"Heart and Soul",心與靈
Annihilation,橫掃千軍
"Elemental Damage",元素傷害
"Cold Ailment Effect",冰冷異常狀態效果
"Chance to Ignite",點燃機率
"Lightning Ailment Effect",閃電異常狀態效果
"Prism Weave",綾彩交織
"Wand Attack Speed and Accuracy",法杖攻擊速度和精準
"Curse Effect",詛咒效果
"Skittering Runes",飛掠符文
"Curse Cast Speed",詛咒施放速度
"Defiled Forces",玷汙之利
"Practical Application",化虛為實
"Avoid Interruption while Casting and Elemental Resistances",施放時避免干擾和元素抗性
"Chance for Extra Fork Projectile",額外分裂投射物機率
Pierce,穿透
"Piercing Shots",穿射箭矢
"Essence Surge",精純之潮
Survivalist,死裡逃生
"Avoid Status Ailments",避免異常狀態
Constitution,構成
Foresight,先見之明
"Druidic Rite",德魯伊的儀式
"Forces of Nature",自然之力
"Fatal Blade",致命之刃
Revelry,狂歡
"Bow Damage and Evasion",弓的傷害和閃避
"Avatar of the Hunt",狩獵之徵
"Weapon Fire Damage",武器火焰傷害
"Elemental Damage and Resistances",元素傷害和抗性
"Ash, Frost and Storm",三相之力
"Mental Rapidity",精神迅捷
"Quick Recovery",快速回復
"Combat Stamina",戰鬥精力
"Martial Experience",武術經驗
Dynamo,蓄電
"Battle Rouse",戰鬥鼓舞
"Exceptional Performance",卓越的表現
"Command of Steel",鋼鐵命令
"Mana and Flasks",魔力與藥劑
"Arcane Chemistry",祕法學
"Life and Flasks",生命與藥劑
"Profane Chemistry",生物學
"Master of Blades",劍刃大師
"Life and Life on Kill",生命與擊殺回復生命
"Hired Killer",受雇殺手
"Mana and Mana on Kill",魔力與擊殺回復魔力
"Thrill Killer",驚險殺手
Dreamer,幻夢者
Melding,融合
"True Strike",真實之擊
"Armour and Life Regeneration",護甲與生命回復
"Claw Critical Strike Chance and Accuracy",爪暴擊率和命中
"Claw Critical Strike Chance",爪暴擊率
"Staff Critical Strike Chance",長杖暴擊率和傷害
"Staff Critical Strike Chance and Multiplier",長杖暴擊率和加成
"Claw Attack Speed",爪攻擊速度
"Potency of Will",意志之力
"Champion of the Cause",起源
Quickstep,疾步
"Ribcage Crusher",碎胸者
"Breath of Flames",火焰之息
"Breath of Lightning",閃電之息
"Breath of Rime",霜雪之息
"Tempest Blast",風暴衝擊
"Claw Ailment Damage and Poison Duration",爪的異常狀態傷害和中毒持續時間
"Claw Critical Strike Chance and Multiplier",爪暴擊率和加成
"Claw Ailment Damage and Poison Chance",爪的異常狀態傷害和中毒機率
"Dual Wield Damage and Attack Speed",雙持傷害和攻擊速度
"Dual Wield Damage and Block",雙持傷害和格擋
"Wand Critical Strike Chance and Multiplier",法杖暴擊率和加成
"Mace Elemental Damage and Accuracy",錘的元素傷害與命中
"Physical Attack Damage and Life",物理傷害與生命
"Armour, Evasion and Life",護甲、閃避與生命
Bravery,英勇
"Attack Damage with Shield",持盾攻擊傷害
"Defences with Shield",持盾防禦
Defiance,反抗
"Dual Wield Accuracy",雙持武器命中
"Two Handed Melee Accuracy",雙手武器近戰命中
"Life Recoup",生命補償
Retribution,報應
Sanctity,聖潔之力
"Light of Divinity",神聖之光
"Righteous Decree",正義審判
Robust,堅固
"Melee Attack Speed",近戰攻擊速度
"Life and Elemental Resistances",生命與元素抗性
Barbarism,野蠻
Juggernaut,勇士
"Block Chance and Attack Damage with Shield",持盾格擋率和攻擊傷害
"Attack Damage and Attack Speed with Shield",持盾攻擊傷害和攻擊速度
Retaliation,復仇
"Shield Block and Elemental Resistances",盾牌格擋和元素抗性
"Cold and Lightning Damage",冰冷與閃電傷害
"Storm Weaver",風暴織者
"Faster Bleeding",加速流血
"Maximum Lightning Resistance",最大閃電抗性
"Sword Critical Strike Multiplier",劍暴擊加成
"Blade of Cunning",巧刃
"Sword Accuracy and Critical Strike Chance",劍的命中和暴擊率
"Life and Reduced Cost",生命與減少消耗
Tireless,冷酷
"Sanctum of Thought",靈思聖殿
"Mana and Life Regeneration",生命回復和魔力回復
"Bleed Damage and Chance",流血傷害和機率
"Bleed Damage Multiplier",流血傷害加成
Bloodletting,出血
"Basic Jewel Socket",基礎珠寶插槽
"Large Jewel Socket",巨型珠寶插槽
"Power Charge Duration",暴擊球持續時間
"Cold Damage and Cold Ailment Effect",冰冷傷害和冰冷異常狀態效果
"Flash Freeze",閃現冰凍
"Armour, Evasion and Onslaught Effect",胸甲、閃避和猛攻效果
"Graceful Assault",權貴攻擊
"Life Leech",生命偷取
Hematophagy,吸血
"Life and Mana Leech",生命與魔力偷取
"Mana Leech",魔力偷取
"Spirit Void",精華抽取
"Mana on Hit",擊中獲得魔力
"Essence Sap",靈魂虛空
"Vitality Void",活力虛空
"Dagger Damage and Movement Speed",匕首的傷害和移動速度
"Attack Damage while Fortified",護體時攻擊傷害
"Fortification Gain",獲得護體
"Fortification Duration",護體持續時間
Rampart,壁壘
"Explosive Elements",爆炸元素
"Totem Critical Strike Chance",圖騰暴擊率
"Totem Critical Strike Multiplier",圖騰暴擊加成
"Shaman's Dominion",薩滿領地
"Ignite Chance",點燃機率
"Fire Damage and Cast Speed",火焰傷害和施放速度
"Explosive Impact",暴烈衝擊
"Lightning Damage and Cast Speed",閃電傷害和施放速度
"Crackling Speed",神速暴裂
"Fire and Cold Damage",火焰和冰冷傷害
Snowforged,雪鍛
"High Voltage",高壓伏特
"Armour, Endurance Charge Duration",護甲、耐力球持續時間
"Armour, Attack Speed",護甲、攻擊速度
"Armour, Movement Speed",護甲、移動速度
"Armour, Stun Duration",護甲、暈眩持續時間
"Armour, Stun Threshold",護甲、暈眩門檻
Unstoppable,勢不可擋
Unbreakable,堅不可破
Unyielding,屹立不搖
Undeniable,不可置疑
Unflinching,永不動搖
Unrelenting,殺無赦
Untiring,不懈
"Armour, Life Regeneration",護甲、生命回復
"Physical Damage, Life Leeched per Second",物理傷害，每秒生命偷取
"Physical Damage, Critical Strike Chance",物理傷害、暴擊率
"Physical Damage, Attack Speed",物理傷害，攻擊速度
"Physical Damage, Warcry Speed",物理傷害、戰吼速度
"War Bringer",戰爭使者
"Rite of Ruin",毀滅儀式
"Defy Pain",抵禦苦痛
"Flawless Savagery",純淨殘暴
"Crave the Slaughter",屠戮之慾
"Aspect of Carnage",血肉之章
Blitz,閃電戰
"Life Regeneration, Endurance Charge on Kill",生命回復、擊殺時獲得耐力球
"Life Regeneration, Fire Damage",生命回復、火焰傷害
"Life Regeneration, Area of Effect",生命回復、範圍效果
"Life Regeneration, Totem Placement Speed",生命回復、圖騰放置速度
"Arohongui, Moon's Presence",月使．亞歐紅古
"Ngamahu, Flame's Advance",火徒．拿瑪乎
"Hinekora, Death's Fury",死之狂怒．悉妮蔻拉
"Tasalio, Cleansing Water",淨化之水．塔薩里奧
"Tukohama, War's Herald",戰爭使者．圖克哈瑪
"Tawhoa, Forest's Strength",森林之力．塔赫亞
"Ramako, Sun's Light",烈陽之光．雷默科
"Life Regeneration, Fire Resistance",生命回復、火焰抗性
"Valako, Storm's Embrace",風暴之擁．瓦拉庫
"Evasion, Frenzy Charge Duration",閃避、狂怒球持續時間
"Way of the Poacher",盜獵者之途
"Avatar of the Slaughter",殺戮使徒
"Evasion, Onslaught Effect",閃避、猛攻效果
"Rapid Assault",極速進攻
"Avatar of the Chase",追獵使徒
"Evasion, Elemental Damage",閃避、元素傷害
"Quartz Infusion",石英化身
"Avatar of the Veil",面紗女神
"Projectile Damage, Mark Cast Speed",投射物傷害、印記施放速度
"Focal Point",焦點
"Projectile Damage, Attack Speed",投射物傷害、攻擊速度
Ricochet,彈射
"Projectile Damage, Accuracy",投射物傷害、命中率
"Endless Munitions",無限彈藥
"Projectile Damage, Projectile Speed",投射物傷害、投射物速度
"Far Shot",狙擊
Rupturing,斷裂
"Projectile Damage, Critical Strike Chance",投射物傷害、暴擊率
"Projectile Damage, Mirage Archer Duration",投射物傷害、幻影射手持續時間
"Gathering Winds",集風
"Occupying Force",侵佔部隊
"Wind Ward",風之守衛
"Flask Effect and Duration",藥劑效果和持續時間
"Nature's Adrenaline",大自然的腎上腺素
"Master Surgeon",手術大師
"Flask Effect and Charges Gained",藥劑效果和充能
"Nature's Boon",自然的恩賜
"Master Alchemist",煉金術大師
"Flask Effect, Attack Damage",藥劑效果、攻擊傷害
"Veteran Bowyer",製箭大師
"Flask Effect, Chaos Damage",藥劑效果、混沌傷害
"Nature's Reprisal",大自然的報仇
"Flask Effect, Poison Duration",藥劑效果、中毒持續時間
"Master Toxicist",毒物大師
"Energy Shield, Curse Effect",能量護盾、詛咒效果
"Energy Shield, Cold and Chaos Damage",能量護盾、冰冷和混沌傷害
"Energy Shield, Power Charge Duration",能量護盾、暴擊球持續時間
"Energy Shield, Energy Shield Recharge Rate",能量護盾、能量護盾回復速率
"Profane Bloom",穢言亡語
"Unholy Authority",不潔權威
"Vile Bastion",殘劣壁壘
"Void Beacon",虛無之塔
"Forbidden Power",禁忌力量
"Energy Shield, Chaos Damage",能量護盾、混沌傷害
"Energy Shield, Cold Damage",能量護盾、冰冷傷害
"Withering Presence",凋零光環
"Frigid Wake",寒凜喚醒
"Elemental Damage, Attack and Cast Speed",元素傷害、攻擊和施放速度
"Liege of the Primordial",先祖諸王
"Mastermind of Discord",混沌天才
"Heart of Destruction",毀滅之心
"Bastion of Elements",元素壁壘
Elemancer,元能者
"Elemental Damage, Fire Damage over Time Multiplier",元素傷害、火焰持續傷害加成
"Elemental Damage, Lightning Ailment Effect",元素傷害、閃電異常狀態效果
"Elemental Damage, Cold Ailment Effect",元素傷害、冰冷異常狀態效果
"Shaper of Flames",火焰雕塑者
"Shaper of Storms",風暴雕塑者
"Shaper of Winter",寒冬雕塑者
"Minion Damage and Life",召喚物傷害和生命
"Minion Damage, Skill Duration",召喚物傷害、技能持續時間
"Minion Damage, Mana",召喚物傷害、魔力
"Minion Damage, Aura Effect",召喚物傷害、光環效果
"Mindless Aggression",無意識侵略
"Unnatural Strength",超自然之力
"Bone Barrier",骸骨屏障
"Mistress of Sacrifice",奉獻女魔
"Essence Glutton",吞噬精華
"Commander of Darkness",黑暗統御者
"Minion Damage, Cast Speed",召喚物傷害、施放速度
Plaguebringer,瘟疫帶原者
"Corpse Pact",屍骨盟約
"Attack Damage, Critical Strike Chance",攻擊傷害、暴擊率
"Attack Damage, Attack Speed",攻擊傷害、攻擊速度
"Attack Damage, Life Leech",攻擊傷害、生命偷取
"Attack Damage, Area of Effect",攻擊傷害、範圍效果
Headsman,獵頭者
Overwhelm,鎮壓
"Bane of Legends",神話災難
"Endless Hunger",無盡飢餓
"Brutal Fervour",殘暴熱情
Impact,衝擊
"Attack Damage, Frenzy and Endurance Charge Duration",攻擊傷害、狂怒和耐力球持續時間
"Masterful Form",神采之形
"Attack Speed, Physical Damage",攻擊速度、物理傷害
"Attack Speed, Block Chance",攻擊速度、格擋率
"Attack Speed and One Handed Damage",攻擊速度和單手武器傷害
"Gratuitous Violence",免費暴力
"Blood in the Eyes",血之眼
"Outmatch and Outlast",完美勝出
Painforged,痛苦鑄造
"Violent Retaliation",暴力復仇
"Reigning Veteran",在位老鳥
"Attack Speed, Movement Speed",攻擊速度、移動速度
"Arena Challenger",競技場挑戰者
"Armour and Evasion, Taunt Duration",護甲和閃避、嘲諷持續時間
"Armour and Evasion, Attack Damage while Fortified",護甲和閃避、護體時攻擊傷害
"Armour and Evasion, Aura Effect",護甲和閃避、光環效果
"Armour and Evasion, Attack Damage",護甲和閃避、攻擊傷害
Fortitude,堅忍
"Unstoppable Hero",不敗英雄
Conqueror,征服者
"Worthy Foe",可敬的對手
Inspirational,啟發
"First to Strike, Last to Fall",嗜戰如命
"Armour and Evasion, Impale Chance",護甲和閃避、穿刺機率
"Master of Metal",鐵金剛
"Elemental Damage, Life Regeneration",元素傷害、生命回復速度
"Elemental Damage, Critical Strike Multiplier",元素傷害、暴擊加成
"Righteous Providence",正義之庭
"Inevitable Judgement",命運審判
"Augury of Penitence",懺悔之卜
"Pious Path",廉簡之途
"Instruments of Zeal",狂熱儀
"Instruments of Virtue",美德儀
"Mana Regeneration, Arcane Surge Effect",魔力回復速度、秘能波動效果
"Mana Regeneration, Totem Placement Speed",魔力回復速度、圖騰放置速度
"Mana Regeneration, Mana",魔力回復速度、魔力
"Divine Guidance",神聖指引
"Sanctuary of Thought",意識聖殿
"Pursuit of Faith",信念之訴
"Ritual of Awakening",昇華儀式
"Conviction of Power",力量定罪
